Fechtnach	Fechtnach,Finnfechtnach
Feradach	Feradach
Ferb	Ferb,Feirb,Ferbae,Ferbi
Fercherdne	Fercherdne,Ferchertne
Loingsech	Loingsech
Ferchú	Ferchú
Fergal	Fergal
Fergna	Fergna,Ferghna
Fintan	Fhintan,Fintan,Findtain,Findtan,Fintain
Monach	Monach,Monuch
Forgall	Forgaill,Fhorcaill,Forcaill,Forcaill,Forcald,Forcall,Forcold,Forcoll,Forculd,Forgall,Forgauld,Forgoild
Fiannamail	Fiannamail
Findchaimi	Findchaimi,Findchoíme
Findchath	Findchath
Find	Find,Finde
Fland	Fland,Flaind
Focherd	Focherd,Focheird
Fogartach	Fogartach,Fogartaig
Fóill	Fóill,Foill
Follscaide	Follscaide
Foltchaín	Foltchaín,Foltchain
Fácen	Facen,Fácen
Fiacail	Fiacail
Fabric	Fabric
Fingalach	Fingalach
Forais	Forais
Furbaide	Furbaide,Furbaide,Furbaidi
Fáelbe	Fáelbe,Fáelbe
Fíngen	Fíngen,Fíngin,Fíngin
Danéici	Danéici
Fóenglinni	Fóenglinni,Fóenglinn
Gabalglinni	Gabalglinni,Gabalglinni
Gabrán	Gabrán
Gaidiulaie	Gaidiulaie
Garb	Garb
Stairn	Stairn
Goll	Goll
Carbad	Carbada,Carbad
Gárach	Gáirich,Gáirigi,Gárach
Ibar	Ibor,Ibar,Ibur,Ibur,Iubor
Bochlid	Bochlid
Belaig	Belaig
Imroll	Imroll,Imrull
Iliach	Iliach,nIliach
Idaith	Idaith,Fidaig
Irúath	Irúath,Iruath,Hiruad,Hiruath
Labraid	Labrada,Labraid,Labraid
Lúathlám	Lúathlám
Láeg	Láeg,Laogh,Loech,Loeg,Loeg,Lóeg,Lóich
Búadach	Búadach,Buadach,Buadaig,lon-Buadach
Lóegaire	Loegaire,Lóegaire,Laeccairi,Laegairi,Laogairi,Laoghaire,Loecairi,Loegairi,Láegaire,Lóegairi
Leborcham	Leborcham,Leabharcam,Leabharcham,Leabharchum,Leabharcum,Lebarcham,Leborcham,Lavercam,Lebarcham,Levarcham,Lebharcham,Leabharcham
Lendabair	Lendabair,Lendubair,Lennbair
Lóthar	Lóthair,Lóthar,Lóthur
Lugaid	Lugaid,Lvgaid
Lámderg	Lámderg
Riab	Riab
Lugaidiar	Lugaidiar
Nóis	Nóis
Láríne	Láríne,Láríni
Bró	Bró
Láth	Láth
Léna	Léna
Lí	Lí
Ban	Ban
Mór	Mór,Maur,Már,Mor,Mour
Líac	Líac
Lúach	Lúach
Lúachair	Lúachair
Dathó	Dathó
Milscothach	Milscothach
Finniain	Finniain
Mithig	Mithig
Maine	Mane,Mani,Maine
Andoí	Andoí
Adfiadat	Adfiadat
Condusgeb	Condusgeb
Máthramail	Máthramail
Aithramail	Aithramail
Mórgor	Márgar,Mórgor
Mugain	Mugain
Medb	Medb,Meadb,Meadba,Medba,Medbi,Meidb,Meidbi
Macha	Macha,Machae,Machi,Machai,Machou,Machu,Macho
